"label","hemi","map","value","rank","mapname"
"isthmuscingulate","left","AllometricScaling.PNC20mm",0.953540980815887,28,"Allometric Scaling"
"isthmuscingulate","left","BigBrain.Histology",-0.0165865439921618,34,"Externopyramidization"
"isthmuscingulate","left","CBF",65.299446105957,50,"Cerebral Blood Flow"
"isthmuscingulate","left","Cortical.Thickness",2.68269681930542,27,"Cortical Thickness"
"isthmuscingulate","left","PC1.AHBA",NA,66,"Gene Expression"
"isthmuscingulate","left","PC1.Neurosynth",0.00243372260592878,66,"Neurosynth"
"isthmuscingulate","left","PET.AG",0.293442696332932,54,"Aerobic Glycosis"
"isthmuscingulate","left","T1T2ratio",1.51325631141663,62,"Anatomical Hierarchy"
"isthmuscingulate","left","SensorimotorAssociation_Axis",32393.33203125,28,"Sensorimotor-Association Axis"
"isthmuscingulate","left","G1.fMRI_1",4.14311361312866,56,"Functional Hierarchy"
"isthmuscingulate","left","Evolution.Expansion",-0.533174753189087,12,"Evolutionary Expansion"
"lingual","left","AllometricScaling.PNC20mm",0.858686685562134,13,"Allometric Scaling"
"lingual","left","BigBrain.Histology",0.0457795858383179,42,"Externopyramidization"
"lingual","left","CBF",55.4404907226562,14,"Cerebral Blood Flow"
"lingual","left","Cortical.Thickness",2.18337225914001,5,"Cortical Thickness"
"lingual","left","PC1.AHBA",1.84789299964905,59,"Gene Expression"
"lingual","left","PC1.Neurosynth",-1.7914135241881e-05,34,"Neurosynth"
"lingual","left","PET.AG",-0.530890583992004,5,"Aerobic Glycosis"
"lingual","left","T1T2ratio",1.47449254989624,59,"Anatomical Hierarchy"
"lingual","left","SensorimotorAssociation_Axis",5872.244140625,5,"Sensorimotor-Association Axis"
"lingual","left","G1.fMRI_1",-4.09635877609253,9,"Functional Hierarchy"
"lingual","left","Evolution.Expansion",-1.23732495307922,7,"Evolutionary Expansion"
"medialorbitofrontal","left","AllometricScaling.PNC20mm",0.858700811862946,14,"Allometric Scaling"
"medialorbitofrontal","left","BigBrain.Histology",-0.309402167797089,8,"Externopyramidization"
"medialorbitofrontal","left","CBF",63.5176239013672,43,"Cerebral Blood Flow"
"medialorbitofrontal","left","Cortical.Thickness",2.65630507469177,25,"Cortical Thickness"
"medialorbitofrontal","left","PC1.AHBA",-1.31326293945312,8,"Gene Expression"
"medialorbitofrontal","left","PC1.Neurosynth",0.00230962317436934,65,"Neurosynth"
"medialorbitofrontal","left","PET.AG",0.0702556371688843,42,"Aerobic Glycosis"
"medialorbitofrontal","left","T1T2ratio",1.19889008998871,11,"Anatomical Hierarchy"
"medialorbitofrontal","left","SensorimotorAssociation_Axis",46241.7109375,55,"Sensorimotor-Association Axis"
"medialorbitofrontal","left","G1.fMRI_1",5.54855060577393,64,"Functional Hierarchy"
"medialorbitofrontal","left","Evolution.Expansion",0.0161445140838623,21,"Evolutionary Expansion"
"parahippocampal","left","AllometricScaling.PNC20mm",0.691673934459686,4,"Allometric Scaling"
"parahippocampal","left","BigBrain.Histology",-0.331155776977539,6,"Externopyramidization"
"parahippocampal","left","CBF",49.117504119873,11,"Cerebral Blood Flow"
"parahippocampal","left","Cortical.Thickness",2.72626280784607,38,"Cortical Thickness"
"parahippocampal","left","PC1.AHBA",-0.887139916419983,13,"Gene Expression"
"parahippocampal","left","PC1.Neurosynth",0.00254802615381777,67,"Neurosynth"
"parahippocampal","left","PET.AG",-0.507197558879852,6,"Aerobic Glycosis"
"parahippocampal","left","T1T2ratio",1.31087684631348,40,"Anatomical Hierarchy"
"parahippocampal","left","SensorimotorAssociation_Axis",26391.447265625,23,"Sensorimotor-Association Axis"
"parahippocampal","left","G1.fMRI_1",1.34069347381592,39,"Functional Hierarchy"
"parahippocampal","left","Evolution.Expansion",-1.45831775665283,5,"Evolutionary Expansion"
"paracentral","left","AllometricScaling.PNC20mm",0.836814820766449,10,"Allometric Scaling"
"paracentral","left","BigBrain.Histology",0.151313155889511,52,"Externopyramidization"
"paracentral","left","CBF",47.973991394043,10,"Cerebral Blood Flow"
"paracentral","left","Cortical.Thickness",2.5414891242981,14,"Cortical Thickness"
"paracentral","left","PC1.AHBA",0.785716354846954,52,"Gene Expression"
"paracentral","left","PC1.Neurosynth",-0.00995629467070103,3,"Neurosynth"
"paracentral","left","PET.AG",-0.0400643460452557,35,"Aerobic Glycosis"
"paracentral","left","T1T2ratio",1.441197514534,54,"Anatomical Hierarchy"
"paracentral","left","SensorimotorAssociation_Axis",7420.5068359375,7,"Sensorimotor-Association Axis"
"paracentral","left","G1.fMRI_1",-4.95922183990479,3,"Functional Hierarchy"
"paracentral","left","Evolution.Expansion",0.320194095373154,28,"Evolutionary Expansion"
"pericalcarine","left","AllometricScaling.PNC20mm",0.67539393901825,3,"Allometric Scaling"
"pericalcarine","left","BigBrain.Histology",0.357202649116516,66,"Externopyramidization"
"pericalcarine","left","CBF",54.1231536865234,13,"Cerebral Blood Flow"
"pericalcarine","left","Cortical.Thickness",2.057124376297,2,"Cortical Thickness"
"pericalcarine","left","PC1.AHBA",2.67275595664978,63,"Gene Expression"
"pericalcarine","left","PC1.Neurosynth",-0.000202078677830286,32,"Neurosynth"
"pericalcarine","left","PET.AG",-0.537290155887604,3,"Aerobic Glycosis"
"pericalcarine","left","T1T2ratio",1.55802702903748,65,"Anatomical Hierarchy"
"pericalcarine","left","SensorimotorAssociation_Axis",790.073974609375,1,"Sensorimotor-Association Axis"
"pericalcarine","left","G1.fMRI_1",-3.9614040851593,10,"Functional Hierarchy"
